Count,Period Added,Date Added,Type,Account,Account,Account,Location,Street,Suite,City,State,Zip Code,Sub-Servicing Entity,Type,Model,Asset Owner,Serial Number,Device ID,Contract,Date Contract signed,Stated Name,Company Name,Transfer Date,Purchase Price,Machine in-Service,Offline/Online,Age of Machine,Contract?,"Contract signed/dated, etc.",REVL Addtl Commentary,Device ID,,,TOTALS,5/1/2022,6/1/2022,7/1/2022,8/1/2022,9/1/2022,10/1/2022,11/1/2022,,,
1305,Day 1,Day 1,Day 1 Collateral,F5002,Family Dollar,Family Dollar,Family Dollar # 8562,3519 Lee Blvd,,Lehigh Acres,FL,33971,Refreshing Florida,Bulk,WST 700,WATER STATION MANAGEMENT,2519101497,K3PLK001133,"Water Vending Location Agreement, dated as of 10.1.2019, by and between Water Station and Family Dollar Stores Inc.",10/1/2019,Family Dollar,Family Dollar Stores Inc.,4/29/2022," $8,500.00 ",10/1/2019,, 2.58 ,YES,Okay,,K3PLK001133,,," 140,905.86 "," 19,487.64 "," 19,367.86 "," 19,343.53 "," 18,646.13 "," 20,699.14 "," 22,671.27 "," 20,690.29 ",,,
85,Day 1,Day 1,Day 1 Collateral,1825,Cal's,Cal's,Cal's,8839 SW LOOP 410,,SAN ANTONIO,TX,78155,Refreshing Texas,Bulk,WST 700,WATER STATION MANAGEMENT,107429,K3PLR100138,"Water Vending Location Agreement, dated as of 8.3.2018, by and between Water Station and Cal's Convenience Inc.",8/3/2018,Cal's,Cal's Convenience Inc.,3/10/2021," $8,500.00 ",8/3/2018,, 3.74 ,YES,Okay,,K3PLR100138,,," 103,656.27 "," 12,605.52 "," 13,277.47 "," 15,095.85 "," 16,035.75 "," 15,821.61 "," 16,213.57 "," 14,606.50 ",,,
97,Day 1,Day 1,Day 1 Collateral,1842,Cal's ,Cal's ,Cal's ,13794 POTRANCO RD,,SAN ANTONIO,TX,78252,Refreshing Texas,Bulk,WST 700,WATER STATION MANAGEMENT,107428,K3PLK000816,"Water Vending Location Agreement, dated as of 8.3.2018, by and between Water Station and Cal's Convenience Inc.",8/3/2018,Cal's ,Cal's Convenience Inc.,3/10/2021," $8,500.00 ",8/3/2018,, 3.74 ,YES,Okay,,K3PLK000816,,," 117,287.63 "," 16,946.41 "," 19,149.75 "," 18,699.54 "," 17,179.28 "," 14,663.80 "," 16,052.96 "," 14,595.89 ",,,
86,Day 1,Day 1,Day 1 Collateral,4028,Cal's,Cal's,Cal's,1805 W INTERSTATE 10,,SEGUIN,TX,78240,Refreshing Texas,Bulk,WST 700,WATER STATION MANAGEMENT,107430,K3PLK000687,"Water Vending Location Agreement, dated as of 8.3.2018, by and between Water Station and Cal's Convenience Inc.",8/3/2018,Cal's,Cal's Convenience Inc.,3/10/2021," $8,500.00 ",8/3/2018,, 3.74 ,YES,Okay,,K3PLK000687,,," 54,587.43 "," 7,367.06 "," 8,544.47 "," 7,997.69 "," 7,532.26 "," 6,838.54 "," 7,614.33 "," 8,693.08 ",,,
2514,Day 1,Day 1,Day 1 Collateral,616,Global Mobil,Global Mobil,Mobil Food Mart,3501 W Union Hills Dr1,,Glendale,AZ,85308,Refreshing Arizona,Bulk,WST 700,WATER STATION MANAGEMENT,107978,K3PLK001132,"Water Vending Location Agreement, dated as of 9.19.2018, by and between Water Station and Global Mobile",9/19/2018,Global Mobil,Global Mobile,4/29/2022," $8,500.00 ",9/19/2018,, 3.61 ,YES,Okay,,K3PLK001132,,," 51,635.70 "," 7,749.32 "," 8,102.76 "," 7,364.58 "," 6,216.20 "," 6,757.40 "," 7,412.16 "," 8,033.28 ",,,
1886,Day 1,Day 1,Day 1 Collateral,762,Kroger,Kroger,KROGER 782,19 7th Ave W,,Huntington,WV,25701,Refreshing Virginia,Bulk,WST 700,WATER STATION MANAGEMENT,319101452,K3PLK001130,"Water Vending Location Agreement, dated as of 4.15.2019, by and between Water Station and Kroger Corporation",4/15/2019,Kroger,Kroger Corporation,4/29/2022," $8,500.00 ",5/2/2019,, 2.99 ,YES,Okay,,K3PLK001130,,," 47,393.74 "," 5,819.50 "," 5,490.66 "," 6,881.82 "," 7,543.32 "," 7,625.82 "," 7,414.27 "," 6,618.35 ",,,
1129,Day 1,Day 1,Day 1 Collateral,2689,Circle K Stores Inc.,Circle K Stores Inc.,Circle K #3985,1000 NW 23RD STREET,,OKLAHOMA CITY,OK,73106,Refreshing Great Plains,Bulk,WST 700,WATER STATION MANAGEMENT,116111,K3PLK000927,"National Service Provider Agreement, dated as of 8.8.20, by and between WaterStation and CK Brands",8/8/2020,Circle K Stores Inc.,CK Brands,4/14/2021," $8,500.00 ",10/8/2020,, 1.56 ,YES,Okay,,K3PLK000927,,," 16,570.78 "," 1,639.31 ", 418.25 , -   , -   ," 3,572.39 "," 5,523.20 "," 5,417.63 ",,,
2698,Day 1,Day 1,Day 1 Collateral,2136,Circle K Stores Inc.,Circle K Stores Inc.,CIRCLE K #1317,955 E CHANDLER BLVD1,,CHANDLER,AZ,85224,Refreshing Arizona,Bulk,WST 700,WATER STATION MANAGEMENT,4920102976,K3PLK000931,"National Service Provider Agreement, dated as of 8.8.20, by and between WaterStation and CK Brands",8/8/2020,Circle K Stores Inc.,CK Brands,4/14/2021," $8,500.00 ",11/11/2020,, 1.46 ,YES,Okay,,K3PLK000931,,," 33,131.85 "," 4,974.07 "," 4,465.48 "," 3,879.48 "," 4,286.31 "," 4,738.56 "," 5,469.54 "," 5,318.41 ",,,
295,Day 1,Day 1,Day 1 Collateral,2656421,Circle K,Circle K,Circle K,6690 GREENSBORO ROAD,,RIDGEWAY,VA,24091,Refreshing Virginia,Bulk,WST 700,WATER STATION MANAGEMENT,106709,K3PLK000965,"National Service Provider Agreement, dated as of 8.8.20, by and between WaterStation and CK Brands",8/8/2020,Circle K,CK Brands,7/28/2021," $8,500.00 ",8/8/2020,, 1.72 ,YES,Okay,,K3PLK000965,,," 48,235.59 "," 6,162.90 "," 8,343.45 "," 6,952.57 "," 6,245.97 "," 7,225.38 "," 8,004.33 "," 5,300.99 ",,,
1971,Day 1,Day 1,Day 1 Collateral,,Monrovia 76,Monrovia 76,Monrovia 76,1602 S Myrtle Inc,,Monrovia,CA,91016,Refreshing California,Bulk,WST 700,WATER STATION MANAGEMENT,107974,VJ300399082,"Water Vending Location Agreement, dated as of 1.9.2019, by and between Water Station and Field Monrovia Inc (Monorvia 76)",1/9/2019,Monrovia 76,Field Monrovia Inc (Monorvia 76),4/29/2022," $8,500.00 ",1/9/2019,, 3.30 ,YES,Okay,,VJ300399082,,," 29,104.35 ", -   ," 2,991.30 "," 4,178.85 "," 6,124.60 "," 5,172.25 "," 5,875.50 "," 4,761.85 ",,,
