Device ID, Total 
VJ300446484, 713.60 
VJ310298447," 1,699.80 "
VJ310298448, 581.30 
VJ310298460, 172.70 
VJ300321654, 301.90 
VJ300321655," 1,170.30 "
VJ300321656, 844.85 
VJ300321657, 340.00 
VJ300321659," 1,937.85 "
VJ300321661, 764.70 
VJ300321662, 528.80 
VJ300321663, 908.05 
VJ300321664, 350.50 
VJ300321665," 1,603.70 "
VJ300321667, 438.30 
VJ300321668, 265.40 
VJ300321669, 335.20 
VJ300321671," 1,482.90 "
VJ300321672, 356.80 
VJ300321673, 133.60 
VJ300321674, 234.00 
VJ300321675," 3,446.30 "
VJ300321676, 926.60 
VJ300321678," 3,061.30 "
VJ300321679," 1,183.50 "
VJ300321680, 692.80 
VJ300321681," 2,227.70 "
VJ300321683, 558.70 
VJ300321686," 1,209.95 "
VJ300321687," 1,171.25 "
VJ300321688, 270.30 
VJ300321694," 2,084.60 "
VJ300321695," 1,274.90 "
VJ300321699, 55.30 
VJ300321704, 71.40 
VJ300321705, 539.30 
VJ300321706," 1,692.50 "
VJ300321713, 160.40 
VJ300321714," 1,864.20 "
VJ300321715, 618.70 
VJ300321716," 1,169.00 "
VJ300321717, 162.70 
VJ300321718," 1,266.00 "
VJ300321719," 3,826.90 "
VJ300321720," 3,759.30 "
VJ300321721," 2,033.50 "
VJ300321722," 3,668.70 "
VJ300321729, 42.90 
VJ300321735," 1,685.70 "
VJ300321736, 590.50 
VJ300321739," 1,317.70 "
VJ300321740," 2,413.70 "
VJ300321741," 1,963.45 "
VJ300321742," 1,627.55 "
VJ300321743, 553.90 
VJ300321744," 1,615.65 "
VJ300321745," 2,675.40 "
VJ300321746," 4,127.85 "
VJ300321748," 1,846.80 "
VJ300321749," 3,903.10 "
VJ300321750," 4,761.55 "
VJ300321751, 198.10 
VJ300321756, 450.20 
VJ300321758, 563.90 
VJ300321759, 318.25 
VJ300321761," 2,340.50 "
VJ300321762, 179.70 
VJ300321763, 272.80 
VJ300321764, 646.00 
VJ300321765, 751.05 
VJ300321766, 770.90 
VJ300321767, 847.60 
VJ300321769," 1,161.35 "
VJ300321770, 869.85 
VJ300321771, 841.90 
VJ300321772, 963.25 
VJ300321774," 2,612.60 "
VJ300321775," 1,413.55 "
VJ300321776," 1,862.60 "
VJ300321777, 758.90 
VJ300321778, 528.30 
VJ300321779," 1,115.70 "
VJ300321780," 1,527.50 "
VJ300321782, 467.70 
VJ300321783," 1,755.80 "
VJ300321784," 2,267.25 "
VJ300321785," 1,689.40 "
VJ300321786," 3,864.70 "
VJ300321787," 6,825.50 "
VJ300321789," 3,989.90 "
VJ300321790," 3,659.30 "
VJ300321792," 4,574.90 "
VJ300321793," 2,521.40 "
VJ300321804, 395.00 
VJ300321810," 2,347.00 "
VJ300321812," 1,136.10 "
VJ300321814, 754.00 
VJ300321815," 2,415.60 "
VJ300321817, 924.50 
VJ300321818, 980.10 
VJ300321819, 609.40 
VJ300321820," 1,343.30 "
VJ300321822," 1,629.15 "
VJ300321823, 878.70 
VJ300321829," 3,982.30 "
VJ300321834, 350.40 
VJ300321835, 665.05 
VJ300321836, 569.30 
VJ300321837, 718.00 
VJ300321838," 1,436.10 "
VJ300321840, 506.30 
VJ300321841, 664.70 
VJ300321842," 1,182.60 "
VJ300321843, 331.90 
VJ300321846, 263.00 
VJ300321847," 1,661.90 "
VJ300321851, 428.80 
VJ300321854," 6,460.20 "
VJ300321855," 4,830.20 "
VJ300321857," 3,569.70 "
VJ300321858," 3,162.50 "
VJ300321859," 4,382.90 "
VJ300321860," 3,840.00 "
VJ300321861," 2,134.60 "
VJ300321863," 1,356.95 "
VJ300321864, 599.60 
VJ300321865, 275.70 
VJ300321867, 626.20 
VJ300321874, 723.10 
VJ300321875," 2,820.80 "
VJ300321876, 364.50 
VJ300321878, 408.90 
VJ300321879, 59.90 
VJ300321881," 1,676.50 "
VJ300321882, 756.60 
VJ300321883," 1,408.70 "
VJ300321897, 11.20 
VJ300321907, 553.35 
VJ300321926, 353.80 
VJ300321930, 44.50 
VJ300321940," 2,146.25 "
VJ300321943, 132.70 
VJ300321947," 1,744.10 "
VJ300321976, 844.10 
VJ300321995, 364.70 
VJ300322006, 705.90 
VJ300322007," 1,022.35 "
VJ300322011, 49.70 
VJ300322012, 536.30 
VJ300322013, 941.90 
VJ300322021, 59.10 
VJ300322022, 741.50 
VJ300322035, 972.20 
VJ300322037, 342.35 
VJ300322040, 584.30 
VJ300322045," 1,478.05 "
VJ300322049, 608.60 
VJ300322050, 644.00 
VJ300322053, 920.10 
VJ300292048," 5,609.50 "
VJ100076182, 471.60 
VJ300183522, 754.00 
VJ300183667," 5,011.60 "
VJ300183787," 14,364.50 "
VJ300183852, 551.50 
VJ300183869," 2,134.30 "
VJ300183895," 6,053.60 "
VJ300203685," 4,215.60 "
VJ300203746, 294.70 
VJ300203782," 1,406.30 "
VJ300209589," 8,586.00 "
VJ300216346," 11,358.40 "
VJ300216374," 1,369.20 "
VJ300216411, 100.80 
VJ300216421," 1,636.40 "
VJ300216685," 1,476.80 "
VJ300216717, 920.40 
VJ300288928," 2,050.90 "
VJ300288958," 2,791.80 "
VJ300288985," 2,127.80 "
VJ300289010, 814.70 
VJ300289018," 1,210.40 "
VJ300289019," 2,606.50 "
VJ300289029, 308.60 
VJ300320554," 4,466.70 "
VJ300320561, 200.30 
VJ300345923, 3.70 
VJ300356344, 304.30 
VJ300356389," 1,213.15 "
VJ300356391, 8.40 
VJ300356400, 2.60 
VJ300356412, 70.30 
VJ300356429, 369.00 
VJ300356450, 8.40 
VJ300356494, 102.40 
VJ300356495, 4.20 
VJ300356500, 477.15 
VJ300356515, 6.00 
VJ300356526, 15.90 
VJ300356528, 394.45 
VJ300359285, 579.45 
VJ300359367, 650.40 
VJ300388221, 401.45 
VJ300388224, 725.85 
VJ300388229, 688.70 
VJ300388230," 3,413.20 "
VJ300388232, 13.30 
VJ300388237," 2,142.65 "
VJ300388238, 325.90 
VJ300388241, 235.90 
VJ300388243, 375.10 
VJ300388294, 231.40 
VJ300388295, 447.40 
VJ300388374, 246.30 
VJ300388376, 412.00 
VJ300388378, 321.80 
VJ300388379, 537.60 
VJ300388380," 1,027.65 "
VJ300388385," 1,621.50 "
VJ300388393, 265.15 
VJ300388394, 343.40 
VJ300388395," 1,949.25 "
VJ300388396, 379.10 
VJ300388397," 1,459.45 "
VJ300388398, 166.80 
VJ300388399, 71.90 
VJ300388400, 650.50 
VJ300388417, 672.40 
VJ300388418," 1,652.40 "
VJ300388419, 218.20 
VJ300388441, 858.55 
VJ300388443, 174.80 
VJ300388465, 24.40 
VJ300388467, 105.90 
VJ300388506, 211.10 
VJ300388573, 428.10 
VJ300388609, 181.90 
VJ300401475, 656.00 
VJ300401494, 40.70 
VJ300401533," 1,478.90 "
VJ300401535, 75.60 
VJ300401536, 853.30 
