Account,Location,Street,Suite,City,State,Zip Code,Sub-Servicing Entity,Type,Model,Asset Owner,Serial Number,Device ID,Contract,Date Contract signed,Stated Name,Company Name,Transfer Date,Purchase Price,Machine in-Service,Offline/Online,Age of Machine,Contract?,"Contract signed/dated, etc.",REVL Addtl Commentary
10th & l Smog & Gas,10th & l Smog & Gas,1007 W Ave l,,Lancaster,CA,93534,Refreshing California,Bulk,WST 700,WATER STATION MANAGEMENT,100925,VJ300114190,"Water Vending Location Agreement, dated as of 4.20.2018, by and between Water Station and 10th & l Smog & Gas",4/20/2018,10th & l Smog & Gas,10th & l Smog & Gas,4/29/2022," $8,500.00 ",4/20/2018,, 4.03 ,YES,Okay,
47th Ave Food Store,47th Ave Food Store,4723 W Thomas Rd,,Phoenix,AZ,85031,Refreshing Arizona,Bulk,WST 700,WATER STATION MANAGEMENT,2819101641,VJ300183691,"Water Vending Location Agreement, dated as of 6.11.2017, by and between Water Station and 47th Ave Good Store",6/11/2017,47th Ave Food Store,47th Ave Good Store,4/29/2022," $8,500.00 ",2/21/2018,, 4.19 ,YES,Okay,
7 Kings Liquor Market,7 Kings Liquor Market,17646 Lassen St,,Northridge,CA,91325,Refreshing California,Bulk,WST 700,WATER STATION MANAGEMENT,108045,VJ400005834,"Water Vending Location Agreement, dated as of 1.10.2017, by and between Water Station and 7 Kings Liquor Market",1/10/2017,7 Kings Liquor Market,7 Kings Liquor Market,4/29/2022," $8,500.00 ",1/10/2017,, 5.30 ,YES,Okay,
7 Stop Food Mart,7 Stop Food Mart,2351 Vehicle Dr,,Rancho Cordova,CA,95670,Refreshing California,Bulk,WST 700,WATER STATION MANAGEMENT,108311,VJ300374777,"Water Vending Location Agreement, dated as of 11.17.2016, by and between Water Station and Paramjeet Chatha",11/17/2016,7 Stop Food Mart,Paramjeet Chatha,4/29/2022," $8,500.00 ",11/17/2016,, 5.45 ,YES,Okay,
7-Eleven,7-Eleven,55277 CA-62,,Yucca Valley,CA,92284,Refreshing California,Bulk,WST 700,WATER STATION MANAGEMENT,102593,VJ600029598,"Water Vending Location Agreement, dated as of 7.12.2018, by and between Water Station and Zashan Chaudry",7/12/2018,7-Eleven,Zashan Chaudry,4/29/2022," $8,500.00 ",7/6/2018,, 3.82 ,YES,Okay,
7-Eleven - Jackson,7-Eleven - Jackson,44046 Jackson St,,Indio,CA,92201,Refreshing California,Bulk,WST 700,WATER STATION MANAGEMENT,102014,VJ300113075,"Water Vending Location Agreement, dated as of 7.27.2017, by and between Water Station and Zeshaun Chaudhry",7/27/2017,7-Eleven - Jackson,Zeshaun Chaudhry,4/29/2022," $8,500.00 ",8/7/2018,, 3.73 ,YES,Okay,
7-Eleven - Palm Desert,7-Eleven - Palm Desert,73800 CA-111,,Palm Desert,CA,92583,Refreshing California,Bulk,WST 700,WATER STATION MANAGEMENT,108220,VJ400015431,"Water Vending Location Agreement, dated as of 8.22.2018, by and between Water Station and Asim Butt",8/22/2018,7-Eleven - Palm Desert,Asim Butt,11/10/2021," $8,500.00 ",8/22/2018,, 3.69 ,YES,Okay,
7-Eleven - San Jacinto,7-Eleven - San Jacinto,1210 N State St,,San Jacinto,CA,95991,Refreshing California,Bulk,WST 700,WATER STATION MANAGEMENT,101083,VJ300112886,"Water Vending Location Agreement, dated as of 8.22.2018, by and between Water Station and Asim Butt",8/22/2018,7-Eleven - San Jacinto,Asim Butt,11/10/2021," $8,500.00 ",8/22/2018,, 3.69 ,YES,Okay,
75 Parker Chevron,75 Parker Chevron,2910 N. Central Expy,,Plano,TX,75074,Refreshing Texas,Bulk,WST 700,WATER STATION MANAGEMENT,2820102565,VJ300320654,"Water Vending Location Agreement, dated as of 9.27.2021, by and between Water Station and 75 Parker Chevron",9/27/2021,75 Parker Chevron,75 Parker Chevron,4/29/2022," $8,500.00 ",10/21/2021,, 0.52 ,YES,Okay,
76 - Yucca Valley,76 - Yucca Valley,57266 Twentynine Palms Hwy,,Yucca Valley,CA,92284,Refreshing California,Bulk,WST 700,WATER STATION MANAGEMENT,101583,VJ300113605,"Water Vending Location Agreement, dated as of 8.28.2018, by and between Water Station and RGR Petroleum Inc.",8/28/2018,76 - Yucca Valley,RGR Petroleum Inc.,4/29/2022," $8,500.00 ",8/28/2018,, 3.67 ,YES,Okay,
76 Gas Station,76 Gas Station,451 E Main St,,Grass Valley,CA,95945,Refreshing California,Bulk,WST 700,WATER STATION MANAGEMENT,108267,VJ300113874,"Water Vending Location Agreement, dated as of 8.12.2017, by and between Water Station and 76 Gas",8/12/2017,76 Gas Station,76 Gas,4/29/2022," $8,500.00 ",8/12/2017,, 4.72 ,YES,Okay,
969 Food Mart,969 Food Mart,6491 FM 969,,Austin,TX,78724,Refreshing Texas,Bulk,WST 700,WATER STATION MANAGEMENT,2220102369,VJ300318282,"Water Vending Location Agreement, dated as of 5.27.2020, by and between Water Station and HWY 969 Food Mart",5/27/2020,969 Food Mart,HWY 969 Food Mart,4/29/2022," $8,500.00 ",6/26/2020,, 1.84 ,YES,Okay,
98th OK Market,98th OK Market,9727 S Figueroa St,,Los Angeles,CA,90003,Refreshing California,Bulk,WST 700,WATER STATION MANAGEMENT,100936,VJ300113552,"Water Vending Location Agreement, dated as of 2.10.2018, by and between Water Station and 98th OK Market",2/10/2018,98th OK Market,98th OK Market,4/29/2022," $8,500.00 ",5/23/2018,, 3.94 ,YES,Okay,
A & S Cactus Express,Stop N Shop Market,3441 W Cactus Rd,,Phoenix,AZ,85029,Refreshing Arizona,Bulk,WST 700,WATER STATION MANAGEMENT,101012,VJ300114022,"Water Vending Location Agreement, dated as of 2.10.2018, by and between Water Station and 98th OK Market",2/21/2017,A & S Cactus Express,A+S Cactus Express,4/29/2022," $8,500.00 ",8/21/2018,, 3.69 ,YES,Okay,
A & S Smoke Shop,A & S Smoke Shop,4418 N 19th Ave,,Phoenix,AZ,85015,Refreshing Arizona,Bulk,WST 700,WATER STATION MANAGEMENT,106714,VJ400008226,"Water Vending Location Agreement, dated as of 12.15.2017, by and between Water Station and A+S Smoke Shop",12/15/2017,A & S Smoke Shop,A+S Smoke Shop,4/29/2022," $8,500.00 ",12/15/2017,, 4.37 ,YES,Okay,
A.V. Gas Mart,A.V. Gas Mart,16801 Dale Evans Pkwy,,Apple Valley,CA,92307,Refreshing California,Bulk,WST 700,WATER STATION MANAGEMENT,100860,VJ300090962,"Water Vending Location Agreement, dated as of 1.23.2018, by and between Water Station and A.V. Gas Mart",1/23/2018,A.V. Gas Mart,A.V. Gas Mart,4/29/2022," $8,500.00 ",1/23/2018,, 4.27 ,YES,Okay,
A1 Stop Beer & Liquor Market,A1 Stop Beer & Liquor Market,6505 N 59th Ave,,Glendale,AZ,85301,Refreshing Arizona,Bulk,WST 700,WATER STATION MANAGEMENT,108092,VJ300203660,"Water Vending Location Agreement, dated as of 6.29.2018, by and between Water Station and A1 Stop",6/29/2018,A1 Stop Beer & Liquor Market,A1 Stop,4/29/2022," $8,500.00 ",6/29/2018,, 3.84 ,YES,Okay,
ABC - Laundry Mat,ABC - Laundry Mat,12411 Haster St,,Garden Grove,CA,92840,Refreshing California,Bulk,WST 700,WATER STATION MANAGEMENT,101958,VJ100039014,"Water Vending Location Agreement, dated as of 1.24.2018, by and between Water Station and ABC - Laundry Mat",11/15/2018,ABC - Laundry Mat,ABC - Laundry Mat,4/14/2021," $8,500.00 ",5/17/2019,, 2.95 ,YES,Okay,
ABC Liquor 2,ABC Liquor 2,8121 Bolsa Ave #A,,Midway City,CA,92655,Refreshing California,Bulk,WST 700,WATER STATION MANAGEMENT,100883,VJ300091003,"Water Vending Location Agreement, dated as of 1.24.2018, by and between Water Station and ABC Liquor",1/24/2018,ABC Liquor 2,ABC Liquor,4/29/2022," $8,500.00 ",1/24/2018,, 4.26 ,YES,Okay,
ABC Market,ABC Market,715 W 9th St,,Chico,CA,95928,Refreshing California,Bulk,WST 700,WATER STATION MANAGEMENT,108027,G8704170,"Water Vending Location Agreement, dated as of 1.18.2017, by and between Water Station and ABC Market",1/18/2017,ABC Market,ABC Market,4/29/2022," $8,500.00 ",1/18/2017,, 5.28 ,YES,Okay,
Adair Village Market,Adair Village Market,6002 NE William R Carr St,,Adair Village,OR,97330,Elite Vend,Bulk,WST 700,WATER STATION MANAGEMENT,101584,VJ300281161,"Water Vending Location Agreement, dated as of 2.21.2018, by and between Water Station and Adair Village Market",2/21/2018,Adair Village Market,Adair Village Market,4/29/2022," $8,500.00 ",2/21/2018,, 4.19 ,YES,Okay,
Adams Fuel Inc,Adams Fuel Inc,2603 S Normandie Ave,,Los Angeles,CA,90007,Refreshing California,Bulk,WST 700,WATER STATION MANAGEMENT,107969,VJ300399052,"Water Vending Location Agreement, dated as of 3.20.2019, by and between Water Station and Adams Fuel Inc",3/20/2019,Adams Fuel Inc,Adams Fuel Inc,4/29/2022," $8,500.00 ",3/20/2019,, 3.11 ,YES,Okay,
